wave-length,optical-strength,light
380,2.03042294,2.03042294
381,2.03042294,2.03042294
382,2.03042294,2.03042294
383,2.105166886,2.105166886
384,2.271051848,2.271051848
385,2.540966163,2.540966163
386,2.664022196,2.664022196
387,2.600285807,2.600285807
388,2.359157841,2.359157841
389,2.116374669,2.116374669
390,1.895285506,1.895285506
391,1.775957373,1.775957373
392,1.740009363,1.740009363
393,1.780330335,1.780330335
394,1.818465243,1.818465243
395,1.836545422,1.836545422
396,1.869768252,1.869768252
397,1.954603351,1.954603351
398,2.100200204,2.100200204
399,2.147310205,2.147310205
400,2.04672458,2.04672458
401,1.855335255,1.855335255
402,1.801747953,1.801747953
403,1.871661044,1.871661044
404,1.894609607,1.894609607
405,1.82008287,1.82008287
406,1.671664157,1.671664157
407,1.561325522,1.561325522
408,1.498100467,1.498100467
409,1.47846346,1.47846346
410,1.476278552,1.476278552
411,1.482506711,1.482506711
412,1.442924751,1.442924751
413,1.378041207,1.378041207
414,1.300055507,1.300055507
415,1.233165272,1.233165272
416,1.175963652,1.175963652
417,1.111448562,1.111448562
418,1.051765294,1.051765294
419,0.998855672,0.998855672
420,0.962740034,0.962740034
421,0.93925631,0.93925631
422,0.922950769,0.922950769
423,0.91115481,0.91115481
424,0.901999793,0.901999793
425,0.893928564,0.893928564
426,0.886925047,0.886925047
427,0.88208788,0.88208788
428,0.879850367,0.879850367
429,0.87976064,0.87976064
430,0.882846437,0.882846437
431,0.887574412,0.887574412
432,0.893623942,0.893623942
433,0.899198252,0.899198252
434,0.904256092,0.904256092
435,0.907651401,0.907651401
436,0.909541128,0.909541128
437,0.912337241,0.912337241
438,0.917982581,0.917982581
439,0.925428033,0.925428033
440,0.934362518,0.934362518
441,0.943083867,0.943083867
442,0.952368196,0.952368196
443,0.961972218,0.961972218
444,0.971835266,0.971835266
445,0.982527455,0.982527455
446,0.993412731,0.993412731
447,1.004222975,1.004222975
448,1.013127445,1.013127445
449,1.020438936,1.020438936
450,1.026149795,1.026149795
451,1.031143994,1.031143994
452,1.035117763,1.035117763
453,1.037696637,1.037696637
454,1.03889676,1.03889676
455,1.037455424,1.037455424
456,1.033595521,1.033595521
457,1.027134232,1.027134232
458,1.021180373,1.021180373
459,1.016762841,1.016762841
460,1.013723027,1.013723027
461,1.010040161,1.010040161
462,1.006354497,1.006354497
463,1.005256908,1.005256908
464,1.007466633,1.007466633
465,1.011187568,1.011187568
466,1.012897973,1.012897973
467,1.011812463,1.011812463
468,1.008621031,1.008621031
469,1.00379247,1.00379247
470,0.999082555,0.999082555
471,0.996231816,0.996231816
472,0.995056689,0.995056689
473,0.991949465,0.991949465
474,0.985894581,0.985894581
475,0.980779068,0.980779068
476,0.979971622,0.979971622
477,0.9831068,0.9831068
478,0.984458259,0.984458259
479,0.98267166,0.98267166
480,0.981545749,0.981545749
481,0.984131443,0.984131443
482,0.989726006,0.989726006
483,0.993632105,0.993632105
484,0.995070078,0.995070078
485,0.993681967,0.993681967
486,0.990952758,0.990952758
487,0.986835765,0.986835765
488,0.982505382,0.982505382
489,0.978216198,0.978216198
490,0.975236535,0.975236535
491,0.973594821,0.973594821
492,0.972200838,0.972200838
493,0.969208763,0.969208763
494,0.965073276,0.965073276
495,0.963269702,0.963269702
496,0.964176491,0.964176491
497,0.965836527,0.965836527
498,0.965369872,0.965369872
499,0.963620115,0.963620115
500,0.963566345,0.963566345
501,0.965480674,0.965480674
502,0.967532316,0.967532316
503,0.968017668,0.968017668
504,0.967394434,0.967394434
505,0.967114476,0.967114476
506,0.967365492,0.967365492
507,0.968307409,0.968307409
508,0.969571052,0.969571052
509,0.971073654,0.971073654
510,0.972395788,0.972395788
511,0.973516652,0.973516652
512,0.974337565,0.974337565
513,0.974924814,0.974924814
