波長,補正データ
380,0.2
381,0.2
382,0.2
383,0.1
384,0.2
385,0.2
386,0.1
387,0.2
388,0.2
389,0.1
390,0.2
391,0.1
392,0.2
393,0.2
394,0.2
395,0.3
396,0.3
397,0.4
398,0.6
399,0.8
400,1.2
401,1.7
402,2.5
403,3.5
404,4.9
405,6.6
406,8.8
407,11.3
408,14.1
409,17.3
410,20.6
411,24.2
412,27.5
413,30.3
414,33.6
415,36.9
416,40
417,43.5
418,46.1
419,48.4
420,50.4
421,52.2
422,53.8
423,55.3
424,56.5
425,57.7
426,58.7
427,59.5
428,60.3
429,61.1
430,61.8
431,62.4
432,63.2
433,64
434,64.9
435,65.7
436,66.7
437,68
438,69.3
439,70.7
440,72.4
441,74.2
442,76
443,77.9
444,79.6
445,81.2
446,82.6
447,83.5
448,84.2
449,84.6
450,84.7
451,84.4
452,83.7
453,83
454,82.2
455,81.1
456,80
457,78.8
458,77.9
459,77
460,76.4
461,76.1
462,76.2
463,76.7
464,77.5
465,78.7
466,80
467,81.3
468,82.4
469,83.3
470,84
471,84.4
472,84.4
473,84.3
474,83.9
475,83.7
476,83.4
477,83.2
478,82.7
479,82.5
480,82.4
481,82.1
482,81.9
483,81.7
484,81.4
485,81.2
486,80.9
487,80.7
488,80.6
489,80.5
490,80.3
491,80.2
492,80.3
493,80.1
494,79.9
495,79.8
496,79.8
497,79.7
498,79.6
499,79.5
500,79.4
501,79.2
502,79.2
503,79.2
504,79.2
505,79.1
506,79
507,78.9
508,78.8
509,78.7
510,78.7
511,78.6
512,78.4
513,78.3
514,78.3
515,78.3
516,78.1
517,78
518,77.9
519,77.8
520,77.7
521,77.5
522,77.4
523,77.3
524,77.1
525,77.1
526,76.9
527,76.8
528,76.6
529,76.5
530,76.3
531,76.2
532,76.1
533,76
534,75.9
535,75.8
536,76.1
537,76.5
538,76.4
539,76.1
540,76.1
541,75.9
542,75.6
543,75.5
544,75.3
545,75.2
546,74.8
547,74.7
548,74.6
549,74.5
550,74.3
551,74.1
552,74.1
553,73.8
554,73.5
555,73.4
556,73.3
557,73.2
558,73.1
559,72.8
560,72.6
561,72.6
562,72.4
563,72.2
564,72.1
565,72
566,71.8
567,71.7
568,71.6
569,71.5
570,71.5
571,71.3
572,71.1
573,70.9
574,70.9
575,70.8
576,70.7
577,70.5
578,70.4
579,70.3
580,70.2
581,70.2
582,70.1
583,69.9
584,69.8
585,69.7
586,69.6
587,69.5
588,69.3
589,69.3
590,69.3
591,69.2
592,69
593,69
594,68.9
595,68.9
596,68.8
597,68.6
598,68.5
599,68.5
600,68.4
601,68.4
602,68.2
603,68.2
604,68.2
605,68.1
606,68.1
607,68
608,67.9
609,67.9
610,67.8
611,67.8
612,67.7
613,67.6
614,67.6
615,67.6
616,67.6
617,67.5
618,67.6
619,67.6
620,67.5
621,67.6
622,67.5
623,67.5
624,67.5
625,67.6
626,67.6
627,67.7
628,67.8
629,67.9
630,68
631,68.1
632,68.1
633,67.9
634,67.5
635,67
636,66.3
637,65.4
638,64.4
639,63.4
640,62.4
641,61.6
642,61.2
643,60.9
644,60.8
645,60.8
646,61
647,61.4
648,61.7
649,62
650,62.3
651,62.6
652,63
653,63.2
654,63.4
655,63.7
656,63.8
657,63.9
658,64.1
659,64.3
660,64.5
661,64.6
662,64.7
663,64.9
664,65.1
665,65.2
666,65.3
667,65.5
668,65.5
669,65.6
670,65.8
671,65.9
672,66
673,66.1
674,66.2
675,66.4
676,66.4
677,66.6
678,66.7
679,66.8
680,66.9
681,67.1
682,67
683,67.2
684,67.3
685,67.4
686,67.5
687,67.6
688,67.7
689,67.8
690,67.9
691,68
692,68.1
693,68.2
694,68.3
695,68.4
696,68.5
697,68.6
698,68.7
699,68.8
700,68.9
701,69
702,69.1
703,69.3
704,69.4
705,69.4
706,69.5
707,69.6
708,69.8
709,69.9
710,70
711,70.1
712,70.1
713,70.2
714,70.3
715,70.4
716,70.5
717,70.6
718,70.8
719,70.9
720,70.9
721,71
722,71.1
723,71.3
724,71.4
725,71.5
726,71.5
727,71.6
728,71.7
729,71.8
730,71.9
731,72.1
732,72.1
733,72.2
734,72.3
735,72.4
736,72.5
737,72.7
738,72.7
739,72.8
740,72.8
741,72.9
742,73
743,73.1
744,73.2
745,73.2
746,73.3
747,73.4
748,73.5
749,73.6
750,73.7
