波長,光源
380,0.002234
381,0.002234
382,0.002234
383,0.002179
384,0.002084
385,0.001949
386,0.001826
387,0.001701
388,0.001666
389,0.001817
390,0.002156
391,0.00248
392,0.002678
393,0.002707
394,0.002556
395,0.00224
396,0.001858
397,0.001557
398,0.001347
399,0.001333
400,0.001488
401,0.001825
402,0.002211
403,0.002645
404,0.00284
405,0.002727
406,0.002354
407,0.00211
408,0.002036
409,0.001987
410,0.001794
411,0.00147
412,0.001249
413,0.001175
414,0.001228
415,0.001268
416,0.001297
417,0.001491
418,0.001863
419,0.002372
420,0.002781
421,0.003081
422,0.003362
423,0.003704
424,0.004076
425,0.004337
426,0.004475
427,0.004592
428,0.004809
429,0.005168
430,0.005858
431,0.00685
432,0.008125
433,0.009444
434,0.010825
435,0.012707
436,0.015071
437,0.018678
438,0.023866
439,0.030635
440,0.040972
441,0.05423
442,0.072486
443,0.096026
444,0.124694
445,0.163542
446,0.210607
447,0.26863
448,0.335942
449,0.411455
450,0.496586
451,0.586881
452,0.681992
453,0.776874
454,0.870526
455,0.955332
456,1.029685
457,1.089656
458,1.131186
459,1.156765
460,1.157958
461,1.142342
462,1.107484
463,1.057599
464,0.997124
465,0.926683
466,0.853755
467,0.778877
468,0.705643
469,0.634728
470,0.569223
471,0.508623
472,0.454244
473,0.406356
474,0.363682
475,0.326816
476,0.292427
477,0.261713
478,0.235664
479,0.21371
480,0.195901
481,0.179613
482,0.165431
483,0.153189
484,0.142613
485,0.133746
486,0.125589
487,0.118552
488,0.112554
489,0.107517
490,0.10307
491,0.098667
492,0.094531
493,0.090818
494,0.087613
495,0.085633
496,0.084679
497,0.085037
498,0.085973
499,0.087889
500,0.091915
501,0.097847
502,0.106809
503,0.11772
504,0.131597
505,0.148718
506,0.16866
507,0.194075
508,0.223385
509,0.257866
510,0.29499
511,0.334865
512,0.378665
513,0.425254
514,0.47439
515,0.52366
516,0.572916
517,0.621747
518,0.670114
519,0.714729
520,0.755637
521,0.790085
522,0.81917
523,0.842366
524,0.858236
525,0.869118
526,0.872308
527,0.87103
528,0.863286
529,0.84973
530,0.831204
531,0.807151
532,0.780418
533,0.750635
534,0.720127
535,0.688591
536,0.655907
537,0.622302
538,0.589174
539,0.557158
540,0.526586
541,0.496555
542,0.467769
543,0.441586
544,0.417818
545,0.396695
546,0.376559
547,0.357739
548,0.339464
549,0.322023
550,0.30574
551,0.290449
552,0.276787
553,0.264098
554,0.252545
555,0.241242
556,0.230561
557,0.220839
558,0.211974
559,0.203362
560,0.194484
561,0.185642
562,0.17712
563,0.168939
564,0.160849
565,0.152973
566,0.145744
567,0.139142
568,0.132754
569,0.126125
570,0.119534
571,0.113311
572,0.107589
573,0.102228
574,0.097144
575,0.092234
576,0.08736
577,0.082511
578,0.077659
579,0.073429
580,0.070036
581,0.06746
582,0.065057
583,0.062752
584,0.060909
585,0.059574
586,0.05905
587,0.058993
588,0.060003
589,0.061762
590,0.064607
591,0.068111
592,0.072621
593,0.078434
594,0.085575
595,0.094369
596,0.10423
597,0.11675
598,0.131141
599,0.14894
600,0.168635
601,0.191959
602,0.218218
603,0.247939
604,0.280275
605,0.315152
606,0.353553
607,0.39479
608,0.439192
609,0.484948
610,0.532727
611,0.581385
612,0.630244
613,0.678299
614,0.724569
615,0.769303
616,0.810287
617,0.846599
618,0.878145
619,0.906538
620,0.93154
621,0.948482
622,0.957888
623,0.960899
624,0.962371
625,0.956645
626,0.944717
627,0.925349
628,0.904312
629,0.878262
630,0.848148
631,0.813846
632,0.778629
633,0.743072
634,0.707362
635,0.670949
636,0.633414
637,0.595242
638,0.557527
639,0.521794
640,0.489025
641,0.458539
642,0.428904
643,0.399108
644,0.370362
645,0.343401
646,0.318885
647,0.296053
648,0.275503
649,0.256217
650,0.238322
651,0.221029
652,0.205396
653,0.191132
654,0.178745
655,0.167202
656,0.157506
657,0.148973
658,0.141353
659,0.133614
660,0.126521
661,0.120236
662,0.114817
663,0.10952
664,0.104518
665,0.099784
666,0.09633
667,0.093895
668,0.091507
669,0.088176
670,0.084261
671,0.080724
672,0.077963
673,0.075692
674,0.073778
675,0.071847
676,0.070112
677,0.068433
678,0.066196
679,0.063659
680,0.061998
681,0.061273
682,0.060224
683,0.058076
684,0.055566
685,0.053452
686,0.051501
687,0.049657
688,0.04808
689,0.046308
690,0.043935
691,0.041442
692,0.039492
693,0.038022
694,0.036393
695,0.034523
696,0.032714
697,0.031145
698,0.029822
699,0.029029
700,0.028384
701,0.027352
702,0.025824
703,0.024252
704,0.022792
705,0.021065
706,0.019361
707,0.018133
708,0.017202
709,0.01606
710,0.014933
711,0.014167
712,0.013719
713,0.013133
714,0.01232
715,0.01159
716,0.011206
717,0.011004
718,0.010639
719,0.010268
720,0.010085
721,0.009638
722,0.008778
723,0.007952
724,0.007755
725,0.008035
726,0.008246
727,0.00828
728,0.008121
729,0.007905
730,0.007554
731,0.007147
732,0.006855
733,0.006557
734,0.006032
735,0.005463
736,0.00514
737,0.005272
738,0.00537
739,0.005175
740,0.004892
741,0.004819
742,0.00485
743,0.00473
744,0.004483
745,0.004402
746,0.004414
747,0.004421
748,0.004496
749,0.004873
750,0.005265
