wave-length,optical-strength,light
380,0.005423012,0.005423012
381,0.005423012,0.005423012
382,0.005423012,0.005423012
383,0.005474647,0.005474647
384,0.00559154,0.00559154
385,0.005757916,0.005757916
386,0.005787319,0.005787319
387,0.005665406,0.005665406
388,0.005463889,0.005463889
389,0.005374247,0.005374247
390,0.005398629,0.005398629
391,0.005330501,0.005330501
392,0.005090259,0.005090259
393,0.00473886,0.00473886
394,0.004591847,0.004591847
395,0.00467145,0.00467145
396,0.004860775,0.004860775
397,0.004964042,0.004964042
398,0.004969779,0.004969779
399,0.004740295,0.004740295
400,0.004304274,0.004304274
401,0.00391415,0.00391415
402,0.004048972,0.004048972
403,0.004708023,0.004708023
404,0.005279584,0.005279584
405,0.005421578,0.005421578
406,0.005177033,0.005177033
407,0.005029303,0.005029303
408,0.005037191,0.005037191
409,0.005262373,0.005262373
410,0.005638872,0.005638872
411,0.006196806,0.006196806
412,0.007090363,0.007090363
413,0.008271492,0.008271492
414,0.009777486,0.009777486
415,0.01141113,0.01141113
416,0.01317171,0.01317171
417,0.015276514,0.015276514
418,0.017679651,0.017679651
419,0.020729646,0.020729646
420,0.024711208,0.024711208
421,0.029610708,0.029610708
422,0.035820422,0.035820422
423,0.042943056,0.042943056
424,0.051223154,0.051223154
425,0.060656412,0.060656412
426,0.071071436,0.071071436
427,0.083595567,0.083595567
428,0.098106177,0.098106177
429,0.11489514,0.11489514
430,0.134441506,0.134441506
431,0.156131403,0.156131403
432,0.181161738,0.181161738
433,0.208731465,0.208731465
434,0.238990467,0.238990467
435,0.273991199,0.273991199
436,0.312684485,0.312684485
437,0.357707246,0.357707246
438,0.408381788,0.408381788
439,0.46470811,0.46470811
440,0.527388291,0.527388291
441,0.593753854,0.593753854
442,0.663525115,0.663525115
443,0.732802984,0.732802984
444,0.801391682,0.801391682
445,0.863684607,0.863684607
446,0.919190521,0.919190521
447,0.962602587,0.962602587
448,0.989239315,0.989239315
449,1,1
450,0.989875418,0.989875418
451,0.966943435,0.966943435
452,0.928684019,0.928684019
453,0.878980485,0.878980485
454,0.820321307,0.820321307
455,0.754429773,0.754429773
456,0.687491215,0.687491215
457,0.621100552,0.621100552
458,0.560932512,0.560932512
459,0.507237376,0.507237376
460,0.462096286,0.462096286
461,0.421954379,0.421954379
462,0.387568236,0.387568236
463,0.357791152,0.357791152
464,0.331304306,0.331304306
465,0.308320688,0.308320688
466,0.286667365,0.286667365
467,0.26665916,0.26665916
468,0.248370658,0.248370658
469,0.231441135,0.231441135
470,0.216476577,0.216476577
471,0.20275769,0.20275769
472,0.190582806,0.190582806
473,0.179913197,0.179913197
474,0.170425436,0.170425436
475,0.162917698,0.162917698
476,0.156834917,0.156834917
477,0.152274625,0.152274625
478,0.148371949,0.148371949
479,0.144799158,0.144799158
480,0.142160083,0.142160083
481,0.140373687,0.140373687
482,0.139518856,0.139518856
483,0.139041241,0.139041241
484,0.13878594,0.13878594
485,0.138722114,0.138722114
486,0.138711356,0.138711356
487,0.139233434,0.139233434
488,0.140880705,0.140880705
489,0.143646714,0.143646714
490,0.148049235,0.148049235
491,0.153475116,0.153475116
492,0.160133761,0.160133761
493,0.167216235,0.167216235
494,0.17482509,0.17482509
495,0.184149343,0.184149343
496,0.195000388,0.195000388
497,0.20761703,0.20761703
498,0.220800931,0.220800931
499,0.234765797,0.234765797
500,0.249938326,0.249938326
501,0.266115569,0.266115569
502,0.283471072,0.283471072
503,0.301317816,0.301317816
504,0.319889589,0.319889589
505,0.339219379,0.339219379
506,0.359200331,0.359200331
507,0.379932129,0.379932129
508,0.40101963,0.40101963
509,0.42260841,0.42260841
510,0.444495521,0.444495521
511,0.466526777,0.466526777
512,0.487584156,0.487584156
513,0.507536424,0.507536424
514,0.526400072,0.526400072
515,0.54510093,0.54510093
516,0.563383695,0.563383695
517,0.580824539,0.580824539
518,0.59746864,0.59746864
519,0.613020536,0.613020536
520,0.62797864,0.62797864
521,0.642036735,0.642036735
522,0.655487411,0.655487411
523,0.668213776,0.668213776
524,0.679688732,0.679688732
525,0.690171167,0.690171167
526,0.69966108,0.69966108
527,0.708950193,0.708950193
528,0.717679938,0.717679938
529,0.72549748,0.72549748
530,0.73246808,0.73246808
531,0.739402106,0.739402106
532,0.746809444,0.746809444
533,0.753632314,0.753632314
534,0.758943452,0.758943452
535,0.762576483,0.762576483
536,0.765231335,0.765231335
537,0.767382755,0.767382755
538,0.769669714,0.769669714
539,0.772437874,0.772437874
540,0.77462515,0.77462515
541,0.775156552,0.775156552
542,0.773987613,0.773987613
543,0.772095081,0.772095081
544,0.770079918,0.770079918
545,0.767270164,0.767270164
546,0.763726776,0.763726776
547,0.759203057,0.759203057
548,0.754272002,0.754272002
549,0.748774407,0.748774407
550,0.742581904,0.742581904
551,0.735823578,0.735823578
552,0.728277114,0.728277114
553,0.720316144,0.720316144
554,0.711640903,0.711640903
555,0.702531791,0.702531791
556,0.693022515,0.693022515
557,0.683466626,0.683466626
558,0.673931533,0.673931533
559,0.66398265,0.66398265
560,0.653575517,0.653575517
561,0.642195939,0.642195939
562,0.630135081,0.630135081
563,0.617404412,0.617404412
564,0.60458195,0.60458195
565,0.591811122,0.591811122
566,0.579161492,0.579161492
567,0.566614411,0.566614411
568,0.553178794,0.553178794
569,0.538773605,0.538773605
570,0.52446236,0.52446236
571,0.511562447,0.511562447
572,0.500268927,0.500268927
573,0.489731991,0.489731991
574,0.479598803,0.479598803
575,0.469695818,0.469695818
576,0.459817216,0.459817216
577,0.451382216,0.451382216
578,0.444388666,0.444388666
579,0.439433947,0.439433947
580,0.435297484,0.435297484
581,0.433792924,0.433792924
582,0.436077015,0.436077015
583,0.442219318,0.442219318
584,0.451078148,0.451078148
585,0.46101197,0.46101197
586,0.473554031,0.473554031
587,0.488010854,0.488010854
588,0.50438029,0.50438029
589,0.520881681,0.520881681
590,0.538422923,0.538422923
591,0.557433585,0.557433585
592,0.578213432,0.578213432
593,0.600290585,0.600290585
594,0.622862564,0.622862564
595,0.644685132,0.644685132
596,0.665291431,0.665291431
597,0.684031732,0.684031732
598,0.701829711,0.701829711
599,0.717624001,0.717624001
600,0.732122418,0.732122418
601,0.744419934,0.744419934
602,0.755136873,0.755136873
603,0.764047337,0.764047337
604,0.771590931,0.771590931
605,0.778089654,0.778089654
606,0.783647488,0.783647488
607,0.788587148,0.788587148
608,0.792258188,0.792258188
609,0.794987622,0.794987622
610,0.795612251,0.795612251
611,0.794921645,0.794921645
612,0.792142011,0.792142011
613,0.788425792,0.788425792
614,0.783340553,0.783340553
615,0.77746144,0.77746144
616,0.771154193,0.771154193
617,0.765039858,0.765039858
618,0.758757713,0.758757713
619,0.751315951,0.751315951
620,0.742637841,0.742637841
621,0.73351869,0.73351869
622,0.724662012,0.724662012
623,0.715615292,0.715615292
624,0.706149762,0.706149762
625,0.696474109,0.696474109
626,0.686942602,0.686942602
627,0.677348705,0.677348705
628,0.667544685,0.667544685
629,0.657457395,0.657457395
630,0.647272573,0.647272573
631,0.636701213,0.636701213
632,0.625713196,0.625713196
633,0.614761752,0.614761752
634,0.604377566,0.604377566
635,0.594567809,0.594567809
636,0.584821877,0.584821877
637,0.574814189,0.574814189
638,0.564543311,0.564543311
639,0.554668294,0.554668294
640,0.546081977,0.546081977
641,0.538209933,0.538209933
642,0.529267198,0.529267198
643,0.518614084,0.518614084
644,0.507296181,0.507296181
645,0.496791516,0.496791516
646,0.487783522,0.487783522
647,0.47961458,0.47961458
648,0.470876947,0.470876947
649,0.460903682,0.460903682
650,0.450899581,0.450899581
651,0.441920271,0.441920271
652,0.433295946,0.433295946
653,0.424207632,0.424207632
654,0.415632073,0.415632073
655,0.408008158,0.408008158
656,0.400601537,0.400601537
657,0.392611164,0.392611164
658,0.38557387,0.38557387
659,0.380008864,0.380008864
660,0.373946879,0.373946879
661,0.365986627,0.365986627
662,0.357603978,0.357603978
663,0.350584613,0.350584613
664,0.343603972,0.343603972
665,0.335375509,0.335375509
666,0.326989274,0.326989274
667,0.319778433,0.319778433
668,0.314617893,0.314617893
669,0.31027346,0.31027346
670,0.304849731,0.304849731
671,0.29763602,0.29763602
672,0.290327647,0.290327647
673,0.284556821,0.284556821
674,0.279269349,0.279269349
675,0.272977163,0.272977163
676,0.265798592,0.265798592
677,0.258591337,0.258591337
678,0.251492368,0.251492368
679,0.244729021,0.244729021
680,0.238620423,0.238620423
681,0.233106335,0.233106335
682,0.228112889,0.228112889
